"Tarih","Saat","PTF (TL/MWh)","PTF (USD/MWh)","PTF (EUR/MWh)"
"02/01/2020","00:00","310,53","52,28","46,61"
"02/01/2020","01:00","311,38","52,42","46,74"
"02/01/2020","02:00","290,01","48,82","43,53"
"02/01/2020","03:00","250,00","42,09","37,53"
"02/01/2020","04:00","180,00","30,30","27,02"
"02/01/2020","05:00","180,00","30,30","27,02"
"02/01/2020","06:00","180,00","30,30","27,02"
"02/01/2020","07:00","310,71","52,31","46,64"
"02/01/2020","08:00","319,37","53,77","47,94"
"02/01/2020","09:00","323,95","54,54","48,63"
"02/01/2020","10:00","326,74","55,01","49,04"
"02/01/2020","11:00","329,69","55,50","49,49"
"02/01/2020","12:00","324,81","54,68","48,75"
"02/01/2020","13:00","325,45","54,79","48,85"
"02/01/2020","14:00","327,13","55,07","49,10"
"02/01/2020","15:00","326,50","54,97","49,01"
"02/01/2020","16:00","328,75","55,35","49,35"
"02/01/2020","17:00","331,52","55,81","49,76"
"02/01/2020","18:00","329,43","55,46","49,45"
"02/01/2020","19:00","325,65","54,82","48,88"
"02/01/2020","20:00","322,08","54,22","48,35"
"02/01/2020","21:00","319,49","53,79","47,96"
"02/01/2020","22:00","316,01","53,20","47,43"
"02/01/2020","23:00","312,58","52,62","46,92"
