"Tarih","Saat","PTF (TL/MWh)","PTF (USD/MWh)","PTF (EUR/MWh)"
"31/12/2019","00:00","189,90","31,99","28,72"
"31/12/2019","01:00","170,00","28,63","25,71"
"31/12/2019","02:00","153,95","25,93","23,28"
"31/12/2019","03:00","153,96","25,93","23,29"
"31/12/2019","04:00","111,35","18,76","16,84"
"31/12/2019","05:00","147,97","24,92","22,38"
"31/12/2019","06:00","173,00","29,14","26,17"
"31/12/2019","07:00","305,00","51,37","46,13"
"31/12/2019","08:00","318,40","53,63","48,16"
"31/12/2019","09:00","324,58","54,67","49,09"
"31/12/2019","10:00","325,89","54,89","49,29"
"31/12/2019","11:00","328,13","55,27","49,63"
"31/12/2019","12:00","323,05","54,41","48,86"
"31/12/2019","13:00","325,46","54,82","49,22"
"31/12/2019","14:00","328,59","55,35","49,70"
"31/12/2019","15:00","329,99","55,58","49,91"
"31/12/2019","16:00","332,64","56,03","50,31"
"31/12/2019","17:00","335,01","56,43","50,67"
"31/12/2019","18:00","335,00","56,43","50,67"
"31/12/2019","19:00","327,82","55,22","49,58"
"31/12/2019","20:00","319,57","53,83","48,33"
"31/12/2019","21:00","316,54","53,32","47,88"
"31/12/2019","22:00","314,70","53,01","47,60"
"31/12/2019","23:00","311,84","52,52","47,16"
